compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_reaction_types,num_downstream_reactions,num_downstream_products,downstream_reaction_types,downstream_reaction_ids,downstream_product_ids
121747,NCc1cccc(N)c1,ZDBWYUOUYNQZBM-UHFFFAOYSA-N,1.0,100.0,31312,Enamine,Global catalog,EN300-62713,18.0,EUR,10,,NCc1cccc(N)c1,2025-09-29,1,1,1,{'Amidation'},{2113},{171}
124196,O=C1Cc2c(cccc2C(=O)O)N1,ALXJUSWINGKGAW-UHFFFAOYSA-N,1.0,50.0,100238,Enamine,EU stock,EN300-223399,18.0,EUR,2,,O=C1Cc2c(cccc2C(=O)O)N1,2025-09-29,1,1,1,{'Amidation'},{2113},{171}
124162,COC(=O)c1ccc2c(c1)CNC2,RSBKALMWYNRSJK-UHFFFAOYSA-N,1.0,50.0,109582,Enamine,EU stock,EN300-71309,20.0,EUR,2,,COC(=O)c1ccc2c(c1)CNC2.Cl,2025-09-29,1,1,1,{'Ester_amidation'},{4736},{3857}
128608,Cc1n[nH]c2ncc(N)cc12,YMIOCQRPGZZJIL-UHFFFAOYSA-N,1.0,50.0,100053,Enamine,EU stock,EN300-55009,18.0,EUR,2,,Cc1n[nH]c2ncc(N)cc12,2025-09-29,1,1,1,{'Ester_amidation'},{4736},{3857}
128590,OB(O)c1cccc2cccnc12,KXJJSKYICDAICD-UHFFFAOYSA-N,1.0,100.0,56517,Enamine,Global catalog,EN300-212532,18.0,EUR,10,,OB(O)c1cccc2cccnc12,2025-09-29,1,1,1,{'Formation_of_sulfonamide_from_boronic_and_amine'},{4727},{3992}
128591,CNCc1cscn1,AIUGQZIAOAZYCW-UHFFFAOYSA-N,1.0,100.0,35618,Enamine,Global catalog,EN300-96818,29.0,EUR,10,,CNCc1cscn1.Cl.Cl,2025-09-29,1,1,1,{'Formation_of_sulfonamide_from_boronic_and_amine'},{4727},{3992}
82346,CNCc1ccccn1,OOTKJPZEEVPWCR-UHFFFAOYSA-N,1.0,100.0,31753,Enamine,Global catalog,EN300-42931,18.0,EUR,10,,CNCc1ccccn1,2025-09-29,1,1,1,{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'},{5000},{5838}
129071,O=C(NCCO)c1cccnc1,SJZLOWYUGKIWAK-UHFFFAOYSA-N,1.0,50.0,89842,Enamine,EU stock,EN300-80598,20.0,EUR,2,,O=C(NCCO)c1cccnc1,2025-09-29,1,1,1,{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol'},{5000},{5838}
128883,OCc1cncs1,WKBQQWDVVHGWDB-UHFFFAOYSA-N,1.0,100.0,45344,Enamine,Global catalog,EN300-91124,18.0,EUR,10,,OCc1cncs1,2025-09-29,1,1,1,{'Steglich_esterification'},{4894},{7519}
128884,O=C(O)COc1ncnc2ccccc12,ILCNFBGYXLMVEH-UHFFFAOYSA-N,1.0,50.0,95899,Enamine,EU stock,EN300-1228984,43.0,EUR,2,,O=C(O)COc1ncnc2ccccc12,2025-09-29,1,1,1,{'Steglich_esterification'},{4894},{7519}
122683,CC1(C)OB(C2CCNCC2)OC1(C)C,ITJOVDVQZDQJDF-UHFFFAOYSA-N,1.0,50.0,87333,Enamine,EU stock,EN300-373944,23.0,EUR,2,,CC1(C)OB(C2CCNCC2)OC1(C)C.Cl,2025-09-29,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{5381},{9946}
129753,Ic1cccc2[nH]ccc12,XVRDITINKCASST-UHFFFAOYSA-N,1.0,50.0,105062,Enamine,EU stock,EN300-314812,25.0,EUR,2,,Ic1cccc2[nH]ccc12,2025-09-29,1,1,1,{'Sp3-sp2_Suzuki_coupling'},{5381},{9946}
68565,Nc1ccc2[nH]ccc2c1,ZCBIFHNDZBSCEP-UHFFFAOYSA-N,1.0,100.0,73799,Enamine,Global catalog,EN300-28737,18.0,EUR,10,,Nc1ccc2[nH]ccc2c1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{4687},{10692}
128498,C1CCN(C2CCNCC2)C1,STWODXDTKGTVCJ-UHFFFAOYSA-N,1.0,100.0,31130,Enamine,Global catalog,EN300-43015,18.0,EUR,10,,C1CCN(C2CCNCC2)C1,2025-09-29,1,1,1,{'Formation_of_urea_from_two_amines'},{4687},{10692}
121697,CC(C)N,JJWLVOIRVHMVIS-UHFFFAOYSA-N,3.0,100.0,41982,Enamine,Global catalog,EN300-18989,18.0,EUR,10,,CC(C)N,2025-09-29,3,3,3,"{'Buchwald-Hartwig_amination', 'N-nucleophilic_aromatic_substitution', 'Reductive_amination'}","{5407, 4796, 1543}","{74617, 11169, 55564}"
129806,Brc1cccc2cc[nH]c12,RDSVSEFWZUWZHW-UHFFFAOYSA-N,1.0,100.0,40820,Enamine,Global catalog,EN300-98387,18.0,EUR,10,,Brc1cccc2cc[nH]c12,2025-09-29,1,1,1,{'Buchwald-Hartwig_amination'},{5407},{11169}
128494,Brc1ncc[nH]1,AXHRGVJWDJDYPO-UHFFFAOYSA-N,1.0,100.0,42703,Enamine,Global catalog,EN300-91720,18.0,EUR,10,,Brc1ncc[nH]1,2025-09-29,1,1,1,{'Formation_of_sulfone_from_halide_-_Shavnya_reaction'},{5328},{13880}
129665,COc1nc2ccccc2cc1CCl,NAVYHPAMBVAVQA-UHFFFAOYSA-N,1.0,50.0,91410,Enamine,EU stock,EN300-1982338,218.0,EUR,2,,COc1nc2ccccc2cc1CCl,2025-09-29,1,1,1,{'Formation_of_sulfone_from_halide_-_Shavnya_reaction'},{5328},{13880}
128465,NC1CCCNC1,PEUGKEHLRUVPAN-UHFFFAOYSA-N,1.0,100.0,37417,Enamine,Global catalog,EN300-216851,18.0,EUR,10,,Cl.Cl.N[C@@H]1CCCNC1,2025-09-29,1,1,1,{'Reductive_amination'},{4671},{15239}
128466,COc1nc2ccccc2cc1C=O,HMZDGMVJEGFPHU-UHFFFAOYSA-N,1.0,100.0,31375,Enamine,Global catalog,EN300-27306,18.0,EUR,10,,COc1nc2ccccc2cc1C=O,2025-09-29,1,1,1,{'Reductive_amination'},{4671},{15239}
129084,O=S(=O)(Cl)c1ccc2ncsc2c1,XQOLJTWXFUSVOR-UHFFFAOYSA-N,1.0,100.0,71291,Enamine,Global catalog,EN300-51881967,18.0,EUR,10,,Cl.O=S(=O)(Cl)c1ccc2ncsc2c1,2025-09-29,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{5311},{17917}
129631,CCN1CCC(NC)CC1,FYPFTVGAZOKJRE-UHFFFAOYSA-N,1.0,50.0,79309,Enamine,EU stock,EN300-27796,19.0,EUR,2,,CCN1CCC(NC)CC1,2025-09-29,1,1,1,{'Sulfonamide_Schotten-Baumann_with_amine_(intermolecular)'},{5311},{17917}
123002,CC(O)C(N)=O,SXQFCVDSOLSHOQ-UHFFFAOYSA-N,2.0,100.0,37403,Enamine,Global catalog,EN300-212052,18.0,EUR,10,,C[C@@H](O)C(N)=O,2025-09-29,2,2,2,"{'Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol', 'Mitsunobu_aryl_ether_synthesis'}","{4866, 5461}","{66691, 48044}"
128838,Cc1ccc(O)c(N)n1,WJRVHFJZHFWCMS-UHFFFAOYSA-N,1.0,100.0,35520,Enamine,Global catalog,EN300-119705,18.0,EUR,10,,Cc1ccc(O)c(N)n1,2025-09-29,1,1,1,{'Mitsunobu_aryl_ether_synthesis'},{4866},{48044}
128575,Sc1ccccn1,WHMDPDGBKYUEMW-UHFFFAOYSA-N,1.0,100.0,42941,Enamine,Global catalog,EN300-21547,18.0,EUR,10,,Sc1ccccn1,2025-09-29,1,1,1,{'Nucleophilic_substitution_with_thiol'},{4722},{48859}
128576,CC(Cl)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,KAVUXOBVQPLOTK-UHFFFAOYSA-N,1.0,50.0,106469,Enamine,EU stock,EN300-23363,44.0,EUR,2,,CC(Cl)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,2025-09-29,1,1,1,{'Nucleophilic_substitution_with_thiol'},{4722},{48859}
129335,CC(C)(C)OC(=O)N1CCNCC1c1cccnc1,KDONIWOICGSFTP-UHFFFAOYSA-N,1.0,100.0,47402,Enamine,Global catalog,EN300-1876931,613.0,EUR,10,,CC(C)(C)OC(=O)N1CCNCC1c1cccnc1,2025-09-29,1,1,1,{'N-Boc_deprotection'},{5132},{53862}
9447,c1cncc(C2CCCCN2)c1,MTXSIJUGVMTTMU-UHFFFAOYSA-N,1.0,100.0,43060,Enamine,Global catalog,EN300-95113,18.0,EUR,10,,c1cncc(C2CCCCN2)c1,2025-09-29,1,1,1,{'N-oxide_formation'},{5179},{59808}
129562,CCOCCCN=C=O,YTCZSDNDGWZYNK-UHFFFAOYSA-N,1.0,100.0,54078,Enamine,Global catalog,EN300-145172,23.0,EUR,10,,CCOCCCN=C=O,2025-09-29,1,1,1,{'Isocyanate_to_urea'},{5261},{62098}
129563,CC(N)C(=O)N1Cc2ccccc2C1,ROGSNODZJLQUKG-UHFFFAOYSA-N,1.0,50.0,83773,Enamine,EU stock,EN300-193005,171.0,EUR,2,,C[C@@H](N)C(=O)N1Cc2ccccc2C1.Cl,2025-09-29,1,1,1,{'Isocyanate_to_urea'},{5261},{62098}
124877,OB(O)c1ccncc1,QLULGIRFKAWHOJ-UHFFFAOYSA-N,1.0,100.0,56475,Enamine,Global catalog,EN300-29529,18.0,EUR,10,,OB(O)c1ccncc1,2025-09-29,1,1,1,{'Chan-Lam_coupling_(amination)'},{5183},{63027}
129433,COCC(N)COC,DSZCUJHVOLGWBO-UHFFFAOYSA-N,1.0,50.0,109494,Enamine,EU stock,EN300-245369,33.0,EUR,2,,COCC(N)COC,2025-09-29,1,1,1,{'Chan-Lam_coupling_(amination)'},{5183},{63027}
122378,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,1.0,100.0,54329,Enamine,Global catalog,EN300-19152,18.0,EUR,10,,CC=O,2025-09-29,1,1,1,{'Petasis-borono_Mannich_reaction'},{5155},{67471}
122492,OB(O)c1cccc2cn[nH]c12,QAHHYPPRKWNXHT-UHFFFAOYSA-N,1.0,50.0,90994,Enamine,EU stock,EN300-212688,21.0,EUR,2,,OB(O)c1cccc2cn[nH]c12,2025-09-29,1,1,1,{'Petasis-borono_Mannich_reaction'},{5155},{67471}
129372,NCc1cnc2ccccc2c1,VKKZSJQQRIGUIE-UHFFFAOYSA-N,1.0,50.0,87288,Enamine,EU stock,EN300-55691,27.0,EUR,2,,Cl.Cl.NCc1cnc2ccccc2c1,2025-09-29,1,1,1,{'Petasis-borono_Mannich_reaction'},{5155},{67471}
129744,Cc1nc2cc(O)ccc2n1C,ADMVTZCMOLFYCM-UHFFFAOYSA-N,1.0,50.0,108633,Enamine,EU stock,EN300-226962,165.0,EUR,2,,Cc1nc2cc(O)ccc2n1C,2025-09-29,1,1,1,{'Williamson_ether_synthesis'},{5375},{70416}
129745,CC(C)CCNC(=O)CCl,GFWKKBRUDMMGRH-UHFFFAOYSA-N,1.0,50.0,105739,Enamine,EU stock,EN300-04640,31.0,EUR,2,,CC(C)CCNC(=O)CCl,2025-09-29,1,1,1,{'Williamson_ether_synthesis'},{5375},{70416}
124169,Brc1nnc2ccccn12,BOKHADJFZUWNSH-UHFFFAOYSA-N,1.0,100.0,35646,Enamine,Global catalog,EN300-131088,18.0,EUR,10,,Brc1nnc2ccccn12,2025-09-29,1,1,1,{'N-nucleophilic_aromatic_substitution'},{1543},{74617}
121907,Cc1cccc(Br)c1,WJIFKOVZNJTSGO-UHFFFAOYSA-N,1.0,100.0,75199,Enamine,Global catalog,EN300-21316,18.0,EUR,10,,Cc1cccc(Br)c1,2025-09-29,1,1,1,{'Sp2-sp2_Suzuki_coupling'},{308},{76716}
121908,C=CB1OC(C)(C)C(C)(C)O1,DPGSPRJLAZGUBQ-UHFFFAOYSA-N,1.0,100.0,49706,Enamine,Global catalog,EN300-92920,18.0,EUR,10,,C=CB1OC(C)(C)C(C)(C)O1,2025-09-29,1,1,1,{'Sp2-sp2_Suzuki_coupling'},{308},{76716}
2257,CC(=O)NCC1CCCNC1,TXZBOHMPGYOABD-UHFFFAOYSA-N,2.0,100.0,34221,Enamine,Global catalog,EN300-54072,18.0,EUR,10,,CC(=O)NCC1CCCNC1,2025-09-29,2,2,2,"{'Amidation', 'Formation_of_sulfonamide_from_halide_-_Shavnya_reaction'}","{5062, 5007}","{115821, 2295}"
123330,Brc1ccc2ncsc2c1,YJOUISWKEOXIMC-UHFFFAOYSA-N,1.0,100.0,55586,Enamine,Global catalog,EN300-314377,18.0,EUR,10,,Brc1ccc2ncsc2c1,2025-09-29,1,1,1,{'Formation_of_sulfonamide_from_halide_-_Shavnya_reaction'},{5007},{115821}
