target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C48641,1,,,,CCC(N)c1cccnc1,COCCc1ccnc(N)c1,CCC(NC(=O)Nc1cc(CCOC)ccn1)c1cccnc1,Formation_of_urea_from_two_amines,,,
C8906,1,,,,CC1CCCCN1,NCc1ccc2c(c1)CCCN2,CC1CCCCN1C(=O)NCc1ccc2c(c1)CCCN2,Formation_of_urea_from_two_amines,,,
C2514,1,,,,OB(O)C1CCCC1,O=C1Nc2ccc(I)cc2C1=O,O=C1Nc2ccc(C3CCCC3)cc2C1=O,Sp3-sp2_Suzuki_coupling,,,
C72721,1,,,,Brc1ccc2c(c1)NCC2,O=S(=O)(Cl)N1CCCC1,O=S(=O)(N1CCCC1)N1CCc2ccc(Br)cc21,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C50762,1,,,,CC(=O)NC(C)C1CCNCC1,Clc1nccc(N2CCCC2)n1,CC(=O)NC(C)C1CCN(c2nccc(N3CCCC3)n2)CC1,N-nucleophilic_aromatic_substitution,,,
C193943,1,,,,Cc1cccc(Br)c1,CC(C)B1OC(C)(C)C(C)(C)O1,Cc1cccc(C(C)C)c1,Sp3-sp2_Suzuki_coupling,,,
C69262,1,,,,O=C(O)c1cnc(-c2ncccn2)s1,NCC(=O)N1CCc2ccccc21,O=C(NCC(=O)N1CCc2ccccc21)c1cnc(-c2ncccn2)s1,Amidation,,,
C107,1,,,,NCCc1cocn1,Cn1nc(C(=O)O)c2ccccc21,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,,
C76428,1,,,,NCCN1CCCC1=O,CC1(C(=O)O)CCCS1(=O)=O,CC1(C(=O)NCCN2CCCC2=O)CCCS1(=O)=O,Amidation,,,
C8952,1,,,,CC(=O)NC(C)C1CCNCC1,O=C(O)c1csc2nnsc12,CC(=O)NC(C)C1CCN(C(=O)c2csc3nnsc23)CC1,Amidation,,,
C205775,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,NCCn1cncn1,Cn1nc(C(=O)NCCn2cncn2)c2cc(F)ccc21,Amidation,,,
C1132,1,,,,COc1ccc2c(c1)CCCN2C(=O)CCl,SCC1CCNCC1,COc1ccc2c(c1)CCCN2C(=O)CSCC1CCNCC1,Nucleophilic_substitution_with_thiol,,,
C1120,1,,,,O=C(O)COC1CNC1,NCCN1CCCc2ccccc21,O=C(COC1CNC1)NCCN1CCCc2ccccc21,Amidation,,,
C686,1,,,,CC=O,OB(O)c1cccc2[nH]ncc12,CC(NCC(n1cccn1)C(F)(F)F)c1cccc2[nH]ncc12,Petasis-borono_Mannich_reaction,,,NCC(n1cccn1)C(F)(F)F
C6060,1,,,,O=C(O)C1Cc2ccccc2N1,Nc1ncc(C2CCCCN2)cn1,O=C(Nc1ncc(C2CCCCN2)cn1)C1Cc2ccccc2N1,Amidation,,,
